Intrebari,A,B,C,D,Raspuns corect
Care este capitala Romaniei?,A. Bucuresti,B. Brasov,C. Cluj,D. Mures,A
Care dintre urmatoarele planete este cea mai apropiata de soare?,A. Marte,B. Venus,C. Mercur,D. Saturn,C
Care este cel mai mare ocean din lume?,A. Oceanul Indian,B. Oceanul Arctic,C. Oceanul Pacific,D. Oceanul Atlantic,C
Care dintre urmatoarele animale este un mamifer?,A. Crocodil,B. Delfin,C. Testoasa,D. Sarpe,B
Cat a durat razboiul de 100 de ani?,A. 100,B. 110,C. 90,D. 116,D
Ce culoare are cutia neagra de la avon?,A. Rosie,B. Neagra,C. Portocalie,D. Gri,C
In ce se transforma omizile cand evolueaza?,A. Fluture,B. Gargarita,C. Morloc,D. Acestea nu evolueaza,A
Ce limba se vorbeste in Brazilia?,A. Portugheza,B. Braziliana,C. Spaniola,D. Italiana,A
Cine a fost primul om care a calatorit in spatiu?,A. Neil Armstrong,B. Yuri Gagarin,C. Alan Shepard,D. Buzz Aldrin,B
Ce element chimic are simbolul Hg inn tabelul periodic?,A. Hidrogen,B. Heliu,C. Mercur,D. Argon,C
Cand a avut loc Marea Unire a Principatelor Romane?,A.1859,B.1947,C.1916,D.1918,D
